"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn & 1 giường lớn & 1 giường lớn & 2 giường sofa";"1 giường lớn & 1 giường lớn & 1 giường sofa";"1 giường lớn & 1 giường sofa";"1 giường sofa & 1 giường lớn";"1 giường đôi";"1 giường đôi lớn";"1 giường đôi lớn & 2 giường đơn";"2 giường đôi";"2 giường đôi lớn";"2 giường đơn";"2 phòng ngủ";"2 phòng tắm";"3 phòng ngủ";"3 phòng tắm";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm tạo sóng";"Bồn tắm/vòi sen riêng";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ mở";"Diện tích phòng: 2000 m²";"Diện tích phòng: 24 m²";"Diện tích phòng: 25 m²";"Diện tích phòng: 27 m²";"Diện tích phòng: 28 m²";"Diện tích phòng: 30 m²";"Diện tích phòng: 32 m²";"Diện tích phòng: 35 m²";"Diện tích phòng: 38 m²";"Diện tích phòng: 40 m²";"Diện tích phòng: 42 m²";"Diện tích phòng: 45 m²";"Diện tích phòng: 50 m²";"Diện tích phòng: 54 m²";"Diện tích phòng: 58 m²";"Diện tích phòng: 65 m²";"Diện tích phòng: 73 m²";"Diện tích phòng: 80 m²";"Diện tích phòng: 95 m²";"Giường cực dài";"Hành lang ngoài";"Hướng Hồ";"Hướng Ngoài trời";"Hướng Núi";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm chung";"Rèm che ánh sáng";"Truy cập Internet - không dây";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"bồn tắm lộ thiên";"phòng tắm riêng";"tầng cao";"tầng thượng";"Điều hòa";"Điều hòa cá nhân";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"1519974";"FLC Luxury Resort Vĩnh Phúc (FLC Luxury Resort Vinh Phuc)";"Khu Trung, 13 Highway, Vinh Thinh Hamlet, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 280000";"Bungalow giường King (Bungalow King)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"712.489
"71116342";"Khách sạn Kim Thanh, Tam Dương - Gần The Golf Panaroma, Tam Đảo (Kim Thanh Hotel, Tam Duong - Near The Golf Panaroma, Tam Dao )";"Khu 6, Khu Đồng Xuân, Thị Trấn Kim Long, Huyện Tam Dương, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 100000";"Phòng Hai Giường Đơn Cao Cấp Hướng Thành Phố (Superior Twin Room with City View)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"547.267
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"71116342";"Khách sạn Kim Thanh, Tam Dương - Gần The Golf Panaroma, Tam Đảo (Kim Thanh Hotel, Tam Duong - Near The Golf Panaroma, Tam Dao )";"Khu 6, Khu Đồng Xuân, Thị Trấn Kim Long, Huyện Tam Dương, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 100000";"Junior Suite - Nhìn ra Quang cảnh Thành phố (Junior Suite - City View)";"Thông tin sức chứa phòng: 2 người lớn.";"589.298
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"71116342";"Khách sạn Kim Thanh, Tam Dương - Gần The Golf Panaroma, Tam Đảo (Kim Thanh Hotel, Tam Duong - Near The Golf Panaroma, Tam Dao )";"Khu 6, Khu Đồng Xuân, Thị Trấn Kim Long, Huyện Tam Dương, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 100000";"Junior Suite - Nhìn ra Quang cảnh Thành phố (Junior Suite - City View)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"676.369
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
"71116342";"Khách sạn Kim Thanh, Tam Dương - Gần The Golf Panaroma, Tam Đảo (Kim Thanh Hotel, Tam Duong - Near The Golf Panaroma, Tam Dao )";"Khu 6, Khu Đồng Xuân, Thị Trấn Kim Long, Huyện Tam Dương, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 100000";"Suite Lớn – Hướng Thành Phố (Executive Suite - City View)";"Thông tin sức chứa phòng: 2 người lớn.";"750.893
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"71116342";"Khách sạn Kim Thanh, Tam Dương - Gần The Golf Panaroma, Tam Đảo (Kim Thanh Hotel, Tam Duong - Near The Golf Panaroma, Tam Dao )";"Khu 6, Khu Đồng Xuân, Thị Trấn Kim Long, Huyện Tam Dương, Vĩnh Phúc, Vĩnh Phúc, Việt Nam, 100000";"Suite Lớn – Hướng Thành Phố (Executive Suite - City View)";"Thông tin sức chứa phòng: 2 người lớn và 1 trẻ em.";"861.009
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Superior 2 giường đơn (Superior Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.448.116
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Superior 2 giường đơn (Superior Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.479.154
₫";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Superior giường đôi hoặc 2 giường (Superior Double or Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.454.460
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Superior giường đôi hoặc 2 giường (Superior Double or Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.475.653
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Superior giường đôi hoặc 2 giường (Superior Double or Twin Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.952.616
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe hướng núi (Deluxe Mountain View)";"Thông tin sức chứa phòng: 2 người lớn.";"1.798.124
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe hướng núi (Deluxe Mountain View)";"Thông tin sức chứa phòng: 2 người lớn.";"1.836.681
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe hướng núi (Deluxe Mountain View)";"Thông tin sức chứa phòng: 2 người lớn.";"1.855.965
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe hướng núi (Deluxe Mountain View)";"Thông tin sức chứa phòng: 2 người lớn.";"2.441.043
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Suite";"Thông tin sức chứa phòng: 2 người lớn.";"1.944.938
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Suite";"Thông tin sức chứa phòng: 2 người lớn.";"1.993.084
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Suite";"Thông tin sức chứa phòng: 2 người lớn.";"2.008.929
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Suite";"Thông tin sức chứa phòng: 2 người lớn.";"2.587.298
₫";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe 3 người (Deluxe Triple Room)";"Thông tin sức chứa phòng: 2 người lớn.";"1.981.758
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
"35958241";"Venus Hotel Tam Dao";"Khu 1, Tam Ðảo, Vĩnh Phúc, Việt Nam, Thị trấn Phúc Yên, Vĩnh Phúc, Việt Nam, 15300";"Phòng Deluxe 3 người (Deluxe Triple Room)";"Thông tin sức chứa phòng: 2 người lớn.";"2.031.601
₫";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
