hotel_id,room_room_type_name,room_type_id
71897952,Phòng Deluxe Có Giường Cỡ King (Deluxe King Room),1
49685029,Phòng Tiêu Chuẩn (Standard Room),2
49685029,Phòng gia đình có ban công (Family Room with Balcony),3
65481766,Phòng Có Giường Cỡ King Với Ban Công (King Room with Balcony),4
5808626,Phòng Studio Executive (Studio Executive),5
5808626,Phòng Studio Premier (Studio Premier),6
5808626,One Bedroom Deluxe,7
5808626,Phòng Thương Gia Một Phòng Ngủ (One Bedroom Executive),8
5808626,One Bedroom Premier,9
5808626,Hai Phòng Ngủ Thương Gia (Two Bedroom Executive),10
10613675,Phòng Tiêu Chuẩn - Giường Đôi (Standard - Double),11
10613675,Phòng Executive (Executive Room),12
10613675,Phòng Superior 3 Người (Superior Triple),13
78191120,Giường Lớn Cao Cấp (Superior King),14
78191120,Superior 2 giường (Superior Twin),15
78191120,Deluxe hướng thành phố (Deluxe City View),16
78191120,Phòng Deluxe 2 Giường đơn (Deluxe Twin),17
78191120,Phòng Deluxe Executive (Deluxe Executive Room),18
78191120,Phòng Superior 2 giường đơn (Superior Twin Room),19
78191120,Phòng Loại Sang (Deluxe),20
78191120,Phòng Lớn 2 Giường Đơn (Large Twin Room),21
78191120,Suite Executive (Executive Suite),22
67742118,Phòng Đôi (Double Room),23
67742118,Phòng Hai Giường Đơn (Twin Room),24
67742118,Căn Hộ 1 Phòng Ngủ (One-Bedroom Apartment),25
67742118,Căn Hộ Nhỏ Hai Giường Đơn (Twin Studio),26
37848723,Phòng Tiêu Chuẩn (Standard Room),27
37848723,Phòng Superior (Superior Room),28
37848723,Phòng Loại Sang (Deluxe Room),29
37848723,Phòng Gia Đình (Family Room),30
37848723,Phòng Gia Đình Loại Sang (Deluxe Family Room),31
39821588,Giường Lớn Cao Cấp (Superior King),32
39821588,Superior 2 giường (Superior Twin),33
39821588,Phòng Deluxe cao cấp 2 giường (Premium Deluxe Twin Room),34
39821588,Phòng Premium Deluxe có Giường cỡ King (Premium Deluxe King Room),35
39821588,Phòng Deluxe 2 Giường đơn (Deluxe Twin),36
39821588,Suite,37
39821588,TWIN Premium Deluxe Twin (TWIN PREMIUM DELUXE TWIN),38
39821588,Premium deluxe king double,39
39821588,Suite cao cấp (Premium Suite),40
39821588,Suite Suite (Suite Suite ),41
64540148,Phòng Nhật Bản (Japan Room),42
64540148,Phòng Deluxe 2 Giường đơn (Deluxe Twin),43
64540148,Phòng Thương gia giường đôi (Business Double),44
64540148,Phòng Executive giường đôi (Executive Double),45
479494,Phòng Superior (Superior Room),46
479494,Deluxe giường đôi (Deluxe Double),47
479494,Business Suite giường đôi (Business Suite Double),48
479494,Suite Thương gia 2 giường (Business Suite Twin),49
479494,Suite,50
479494,Căn hộ (Apartment),51
39830693,Căn hộ 1 phòng ngủ (1-Bedroom Apartment),52
39830693,Căn Hộ 2 Phòng Ngủ (Two Bedroom Apartment),53
39830693,Căn hộ 2 phòng ngủ hướng thành phố có 2 phòng tắm (2-Bedroom City View Apartment with 2 Bathrooms),54
5396372,Superior giường đôi (Superior Double),55
5396372,Superior 2 giường (Superior Twin),56
5396372,Superior 1 người (Superior Single),57
5396372,Phòng Loại Sang Giường Đôi (Deluxe Double Room),58
5396372,Phòng Loại Sang (Deluxe Room),59
5396372,Deluxe 1 người (Deluxe Single),60
5396372,Executive Suite giường King (Executive Suite King),61
5396372,Phòng Suite Executive (Executive suite room),62
5396372,Phòng Tiêu Chuẩn Giường Đôi (Standard Double Room),63
5396372,Căn Hộ Áp Mái 1 Phòng Ngủ (1-Bedroom Penthouse),64
5396372,Căn Hộ (Apartment),65
5396372,Căn Hộ Áp Mái Suite (Suite Penthouse),66
25559635,"Phòng khách 1 giường King (Guest room, 1 King)",67
80191425,Phòng Đôi (Double Room),68
80191425,Deluxe giường đôi hoặc 2 giường (Deluxe Double or Twin),69
