"hotel_id";"hotel_name";"hotel_address";"room_type_name";"option_name";"option_price";"1 giường lớn";"1 giường lớn / 1 giường lớn / 2 giường đơn hoặc 1 giường lớn / 1 giường sofa";"1 giường lớn hoặc 2 giường đơn";"1 giường siêu lớn / 1 giường siêu lớn";"1 giường sofa và 1 giường lớn";"1 giường đôi";"1 giường đôi / 2 giường đơn / 1 giường sofa";"1 giường đôi hoặc 2 giường đơn";"1 giường đôi lớn";"1 giường đôi lớn / 1 giường đôi lớn / 1 giường sofa";"1 giường đôi lớn hoặc 2 giường đôi nhỏ";"1 giường đôi lớn hoặc 2 giường đơn";"1 giường đôi và 1 giường đôi lớn";"1 giường đơn";"1 giường đơn và 1 giường đôi";"1 giường đơn và 1 giường đôi lớn";"1 phòng tắm";"100 m²";"16 m²";"18 m²";"2 giường đôi";"2 giường đôi lớn hoặc 2 giường đôi lớn";"2 giường đơn";"2 giường đơn hoặc 1 giường lớn";"2 giường đơn hoặc 1 giường đôi";"2 phòng ngủ";"2 phòng tắm";"20 m²";"22 m²";"25 m²";"26 m²";"27 m²";"28 m²";"29 m²";"3 giường đôi hoặc 6 giường đơn";"30 m²";"32 m²";"35 m²";"39 m²";"4 giường đơn hoặc 2 giường đôi";"40 m²";"45 m²";"57 m²";"60 m²";"70 m²";"80 m²";"88 m²";"90 m²";"Ban công/sân hiên";"Bể bơi riêng";"Bồn tắm";"Bồn tắm/vòi sen riêng";"Chăn điện";"Cà phê hòa tan miễn phí";"Cửa sổ";"Cửa sổ có thể mở ra";"Cửa sổ mở";"Hướng Công viên";"Hướng Ngoài trời";"Hướng Núi";"Hướng Sông";"Hướng Thành phố";"Hướng Vườn";"Hướng Đường phố";"Internet mạng LAN trong phòng [miễn phí]";"Không hút thuốc";"Máy sấy tóc";"Nước đóng chai miễn phí";"Phòng tắm đứng";"Rèm che ánh sáng";"Rượu";"Studio/1 phòng ngủ";"Sưởi";"Truy cập Internet - không dây";"Trà miễn phí";"Trái cây/đồ ăn vặt";"Tối đa 1 người lớn";"Tối đa 2 người lớn";"Tối đa 2 người lớn, 1 bé (0-12 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-2 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 1 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 2 người lớn, 2 bé (0-5 tuổi) ở MIỄN PHÍ!";"Tối đa 3 người lớn";"Tối đa 4 người lớn";"Tối đa 6 người lớn, 1 bé (0-7 tuổi) ở MIỄN PHÍ!";"Tủ lạnh";"Tủ lạnh nhỏ trong phòng";"Tủ quần áo";"Vòi sen";"Wi-Fi [miễn phí]";"phòng tắm riêng";"tầng cao";"Điều hòa";"Điều hòa cá nhân";"Được vào phòng chờ Thương Gia";"Đồ dùng cho giấc ngủ thoải mái";"Ấm nước";"Ấm nước điện"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Superior (Superior Room)";"2 người lớn";"2.442.875";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Superior giường đôi Hướng phố (Superior Double City View)";"2 người lớn";"699.714";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Superior giường đôi Hướng phố (Superior Double City View)";"2 người lớn";"830.511";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Superior giường đôi Hướng phố (Superior Double City View)";"2 người lớn";"2.478.472";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room)";"2 người lớn & 1 trẻ em (0-12 tuổi)";"805.945";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room)";"2 người lớn";"920.459";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Hai Giường Đơn Loại Sang (Deluxe Twin Room)";"2 người lớn";"2.707.466";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Deluxe giường đôi - Ưu đãi đặc biệt (Deluxe Double Room - Special Offer)";"2 người lớn";"805.945";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Deluxe giường đôi - Ưu đãi đặc biệt (Deluxe Double Room - Special Offer)";"2 người lớn";"920.459";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Suite giường đôi (Suite Double Room)";"2 người lớn";"1.505.606";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"4124059";"Khách sạn Ravatel Luxury Bắc Giang (Ravatel Luxury Hotel Bac Giang)";"Số 1, Đường Hùng Vương 1, Phường Lê Lợi, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Suite giường đôi (Suite Double Room)";"2 người lớn";"1.679.012";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1"
"61642718";"Khách sạn Marina Bắc Giang (Marina Hotel Bac Giang)";"No. 162, Nguyen Thi Luu, Ngo Quyen Ward, Vietnam, Bắc Giang, Bắc Giang, Việt Nam, 230000";"2 Giường Đơn Tiêu Chuẩn (2 Single Beds Standard)";"2 người lớn";"439.869";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"61642718";"Khách sạn Marina Bắc Giang (Marina Hotel Bac Giang)";"No. 162, Nguyen Thi Luu, Ngo Quyen Ward, Vietnam, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Phòng Cao Cấp Giường Đôi - Không Có Cảnh (Superior Double - No View)";"2 người lớn";"439.869";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0"
"61642718";"Khách sạn Marina Bắc Giang (Marina Hotel Bac Giang)";"No. 162, Nguyen Thi Luu, Ngo Quyen Ward, Vietnam, Bắc Giang, Bắc Giang, Việt Nam, 230000";"2 Giường Đơn, Hướng Thành Phố (2 Twin, City View)";"2 người lớn";"507.964";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
"61642718";"Khách sạn Marina Bắc Giang (Marina Hotel Bac Giang)";"No. 162, Nguyen Thi Luu, Ngo Quyen Ward, Vietnam, Bắc Giang, Bắc Giang, Việt Nam, 230000";"Deluxe Double - city view (Deluxe Double - City View)";"2 người lớn";"507.964";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"1";"0";"1";"1";"0";"0";"0";"0";"0"
